模版ID,模版类型,模版名称,模版内容,状态,申请时间
1670370,普通短信,云寄新的工单通知,您好，有新的工单，工单号：{1}，请及时处理，有问题请在内部群联系。,已通过,2023/1/15 20:31
1670369,普通短信,云寄工单处理通知,您好，您的工单{1}已于{2}处理，处理结果：{3}，有问题请在内部群联系。,已通过,2023/1/15 20:31
1670368,普通短信,服务端错误通知,服务端发生错误，时间：{1}，请及时修复，有问题请在内部群联系。,已通过,2023/1/15 20:30
1670367,普通短信,云寄今日信件代发通知,您好，今日有{1}封信待发出，请前往管理员后台查看，请及时发出并在后台更改发件状态，有问题请在内部群联系。,已通过,2023/1/15 20:29
1670366,普通短信,用户信息不合规通知,您好，您的账户信息不合规，请及时修正，不合规原因：{1}，有问题请联系云寄官方。,已通过,2023/1/15 20:29
1670365,普通短信,实名变更通知,您好，您的账户实名信息已于{1}变更，变更原因：{2}，有问题请联系云寄官方。,已通过,2023/1/15 20:27
1670364,普通短信,账户封禁通知,您好，您的账户已被永久封禁，封禁原因：{1}，有问题请联系云寄官方。,已通过,2023/1/15 20:26
1670362,普通短信,云寄许愿失败通知,您好，您的许愿未通过审核，我们将不会展示，失败原因：{1}，请重新编辑后再次投递，感谢您对云寄的支持，祝您生活愉快。,已通过,2023/1/15 20:25
1670361,普通短信,短信投递失败,您好，您的短信投递失败，我们将不会发出，失败原因：{1}，有问题请联系云寄官方，祝您生活愉快。,已通过,2023/1/15 20:24
1670360,普通短信,短信对方通知,您好，您有一条来自云寄{1}的短信，取信码为{2}，收到后可在云寄官方公众号({3})、小程序({4})中输入取信码查看，有问题可在公众号获取官方人员联系方式，如有打扰，可与我们联系，还请见谅，祝您生活愉快。,已通过,2023/1/15 20:23
1670359,普通短信,短信发送通知,您好，您的短信已于{1}由云寄服务发出，祝您平安喜乐，事事顺心呀。,已通过,2023/1/15 20:22
1670358,普通短信,短信投递通知,您好，您的短信(ID){1}投递成功，我们会在1个工作日内将短信审核通过后发出，发出后会有短信通知您，感谢您对云寄的支持，有问题请联系云寄官方，祝您生活愉快。,已通过,2023/1/15 20:22
1670357,普通短信,定时邮件收件人通知,您好，您有一封来自{1}的时光邮件，为了防止邮件被误判为垃圾邮件，请将{2}添加到您的邮箱白名单中，有问题联系官方公众号：{3}，祝您生活愉快，事事顺心。,已通过,2023/1/15 20:21
1670356,普通短信,实体信件收件人通知,您好，您有一封来自{1}的时光信件，单号为{2}，请在收到后{3}天内签收，有问题联系官方公众号：{4}，祝你平安喜乐，事事顺心。,已通过,2023/1/15 20:20
1670354,普通短信,云寄实体信件退回通知,您好，您的时光信件已于{1}被退回，退回原因：{2}，有任何问题请联系云寄官方，感谢您的支持，祝您事事顺心。,已通过,2023/1/15 20:19
1670352,普通短信,云寄信件签收通知,您好，您的时光信件(ID){1}已于{2}被收件人签收，有任何问题请联系云寄官方，祝您平安喜乐呀。,已通过,2023/1/15 20:18
1670351,普通短信,云寄信件发信通知,您好，您的时光信件(ID){1}已经于{2}由云寄时光投递员发出，单号为{3}，祝您平安喜乐。,已通过,2023/1/15 20:17
1670349,普通短信,云寄信件审核问题通知,您好，您的时光信件因为{1}原因审核未通过，我们将不会发出该信件，请重新编辑后再次投递，感谢您对云寄的支持，祝您生活愉快。,已通过,2023/1/15 20:16
1670348,普通短信,云寄信件投递成功通知,您好，您的时光信件(ID){1}投递成功，我们会在{2}这个时间左右1-2天内将信件发出，发出后会有短信通知您，感谢您对云寄的支持，祝您生活愉快。,已通过,2023/1/15 20:14
1670347,普通短信,云寄修改手机绑定,您正在修改云寄绑定手机，验证码是{1}，请在{2}分钟内输入，请勿泄露给他人，云寄团队会一直保护您的账号安全。,已通过,2023/1/15 20:13
1670346,普通短信,云寄重置密码验证码,您正在重置云寄登录密码，验证码是{1}，请在{2}分钟内输入，请勿泄露给他人，云寄团队会一直保护您的账号安全。,已通过,2023/1/15 20:12
1670272,普通短信,云寄登录验证码,欢迎登录云寄，您的验证码是{1}，请在{2}分钟内输入，如非本人操作，请忽略本短信，祝您事事顺心。,已通过,2023/1/15 16:29
1670271,普通短信,云寄注册验证码,欢迎注册云寄，您的验证码是{1}，请在{2}分钟内输入，如非本人操作，请忽略本短信，祝您万事如意，步步高升。,已通过,2023/1/15 16:27
,,,,,
